OrderID,Date,Product,Category,Region,Quantity,Price
1001,2024-01-05,Laptop,Electronics,North,2,850
1002,2024-01-07,Phone,Electronics,West,3,500
1003,2024-01-10,Tablet,Electronics,South,1,300
1004,2024-01-15,Headphones,Accessories,East,5,50
1005,2024-01-18,Mouse,Accessories,North,4,25
1006,2024-02-02,Laptop,Electronics,West,1,850
1007,2024-02-10,Phone,Electronics,South,2,500
1008,2024-02-14,Tablet,Electronics,East,3,300
1009,2024-02-20,Headphones,Accessories,North,6,50
1010,2024-02-25,Mouse,Accessories,West,2,25
1011,2024-03-03,Laptop,Electronics,South,1,850
1012,2024-03-08,Phone,Electronics,East,4,500
1013,2024-03-12,Tablet,Electronics,North,2,300
1014,2024-03-18,Headphones,Accessories,West,3,50
1015,2024-03-22,Mouse,Accessories,South,5,25
